epoch,train_loss,val_loss,lr,secs
0,0.48236672282218934,0.2799776867032051,0.001,29.6034996509552
1,0.21162318502153668,0.2582789734005928,0.001,30.60672354698181
2,0.17275374276297434,0.1726406216621399,0.001,29.23100996017456
3,0.15881963499954768,0.16004876047372818,0.001,27.950634479522705
4,0.15183670222759246,0.1554088443517685,0.001,29.080535173416138
5,0.14713933169841767,0.15212904289364815,0.001,36.67390561103821
6,0.14234760744231087,0.149606142193079,0.001,31.704062938690186
7,0.13852144990648543,0.15070275589823723,0.001,32.21909499168396
8,0.13485554925033025,0.14888062700629234,0.001,31.34459376335144
9,0.13062828821795328,0.15944048762321472,0.001,31.096986293792725
10,0.12639059317963464,0.252143993973732,0.001,31.126457691192627
11,0.1223128114427839,0.5497310608625412,0.001,31.06287145614624
12,0.11732086794716971,0.5238163471221924,0.001,31.684864282608032
13,0.11263810119458607,0.26379116624593735,0.001,33.04329061508179
14,0.10948656690972192,0.1376802958548069,0.001,30.954216241836548
15,0.10754370370081492,0.12493073008954525,0.001,30.836165189743042
16,0.10569461669240679,0.11730958893895149,0.001,30.24413561820984
17,0.10402521980660302,0.12548111751675606,0.001,30.133525848388672
18,0.10268082192965916,0.12278400734066963,0.001,30.328635454177856
19,0.10130351100649153,0.14805424958467484,0.001,29.907036542892456
20,0.10084423699549266,0.13805975764989853,0.001,30.33756399154663
21,0.0993046196443694,0.11940605379641056,0.001,31.427534103393555
22,0.09849060497113636,0.12475472688674927,0.0005,32.85223174095154
23,0.09734085968562535,0.12055483087897301,0.0005,30.859436988830566
24,0.09678850280387061,0.12628492526710033,0.0005,31.268645524978638
25,0.09655460161822182,0.12682833895087242,0.0005,29.760319709777832
26,0.09584201382739203,0.1304690856486559,0.0005,28.857240438461304
27,0.09535695293119975,0.14726199209690094,0.0005,29.054784059524536
28,0.09518388722624098,0.10893665254116058,0.0005,28.76649308204651
29,0.09445682913064957,0.10495525598526001,0.0005,28.961759090423584
30,0.0943146213889122,0.10377433709800243,0.0005,29.796011924743652
31,0.0936604448727199,0.12003114074468613,0.0005,30.120494604110718
32,0.09305626899003983,0.13566278293728828,0.0005,30.35531187057495
33,0.09286134243011475,0.12630082853138447,0.0005,30.313334703445435
34,0.09221648978335517,0.1349200438708067,0.0005,30.00281310081482
35,0.09278004765510559,0.10797149688005447,0.0005,29.11389684677124
36,0.09175332976239069,0.13082710467278957,0.00025,29.344024896621704
37,0.0910107563648905,0.11538384482264519,0.00025,29.335336446762085
38,0.0910493906055178,0.10279799997806549,0.00025,28.76060390472412
39,0.09112301341124944,0.10291397385299206,0.00025,28.778406381607056
40,0.09064148302589144,0.10076809115707874,0.00025,29.844950675964355
41,0.09047264903783798,0.10511110909283161,0.00025,29.497081995010376
42,0.0901230560881751,0.10989739932119846,0.00025,29.08030891418457
43,0.09013742229768208,0.10040228441357613,0.00025,29.217886209487915
44,0.09043030398232596,0.1014257911592722,0.00025,28.891984939575195
45,0.08992239534854889,0.1054646410048008,0.00025,29.158695697784424
46,0.08977010186229434,0.11540487967431545,0.00025,29.37735652923584
47,0.0894665505204882,0.10201411880552769,0.00025,30.259165287017822
48,0.08932597232716424,0.10202718153595924,0.00025,31.451319694519043
49,0.08882716510977064,0.09940977208316326,0.00025,29.932281255722046
