model,category,provenance,I,P,AUPRO
H2_XYZ,bagel,measured_by_us,0.8476239669421488,0.9850383867335164,0.9498225488337092
H2_XYZ,cable_gland,measured_by_us,0.42474001094690744,0.9326014216087879,0.7658956406729849
H2_XYZ,carrot,measured_by_us,0.6801346801346801,0.9907815609436486,0.9621790462057133
H2_XYZ,cookie,measured_by_us,0.9330790568654647,0.9580356027271161,0.9287336928263074
H2_XYZ,dowel,measured_by_us,0.7544378698224851,0.960734318229961,0.8762134627231326
H2_XYZ,foam,measured_by_us,0.71375,0.9306230713025335,0.7393168972979096
H2_XYZ,peach,measured_by_us,0.8577648766328012,0.9898489544633455,0.951989372017612
H2_XYZ,potato,measured_by_us,0.6299407114624506,0.9893855244573065,0.9612763121478212
H2_XYZ,rope,measured_by_us,0.9062500000000001,0.9208283873979226,0.730025415239972
H2_XYZ,tire,measured_by_us,0.5857471264367816,0.924043595478035,0.7471781217183331
H2_XYZ,MEAN,measured_by_us,0.7333,0.9582,0.8613
