method,provenance,I_AUROC,P_AUROC,AUPRO,delta_vs_M3DM_I,delta_vs_M3DM_P,delta_vs_M3DM_AUPRO
H1_RGB (DINO ViT-B/8),measured_by_us,0.8644,0.9872,0.9433,-0.0806,-0.0048,-0.0207
H2_XYZ (Point-MAE),measured_by_us,0.7333,0.9582,0.8613,-0.2117,-0.0338,-0.1027
H3C_Corrected_Concat,measured_by_us,0.888407781395383,0.9756196454985362,0.9104797756469829,-0.0566,-0.0164,-0.0535
H3D_DecisionFusion (DINO ViT-B/8 + PointMAE),measured_by_us,0.8979,0.9897,0.954,-0.0471,-0.0023,-0.01
H4A_DINOv2_RGB (ViT-B/14),measured_by_us,0.9442999999999999,0.990178499843594,0.9512909254327384,-0.0007,-0.0018,-0.0127
H4B_DINOv2_PointMAE (DecisionFusion),measured_by_us,0.9540079056865464,0.9910784998435938,0.9585148837749969,0.009,-0.0009,-0.0055
M3DM (CVPR 2023),reported_prior_work,0.945,0.992,0.964,0.0,0.0,0.0
G2SF (ICCV 2025),reported_prior_work,0.971,0.997,0.979,0.026,0.005,0.015
