epoch,train_loss,val_loss,gamma_rgb,gamma_depth,res_mag
0,0.18354713675138112,0.23417464854300024,0.030855173245072365,0.03338700905442238,0.30549744963645936
1,0.17975600547081716,0.22442165209054946,0.052647802978754044,0.056168846786022186,0.515978217124939
2,0.17466045271705938,0.2159928908288479,0.06884632259607315,0.08506990969181061,0.6107485890388489
3,0.17097111126861056,0.2107429774081707,0.08478066325187683,0.11303512752056122,0.6692990899085999
4,0.16733929595431765,0.20588702266931533,0.1062549501657486,0.13577890396118164,0.6894463777542115
5,0.16479189412013903,0.20222771819233895,0.12432485818862915,0.15205691754817963,0.696117103099823
6,0.1623589029988727,0.19973598874568937,0.13751433789730072,0.16436241567134857,0.6766759395599365
7,0.1612881087773555,0.19875290229797365,0.15031957626342773,0.17375342547893524,0.6827876091003418
8,0.1600646263844258,0.1967684863615036,0.15699371695518494,0.18282455205917358,0.6372644424438476
9,0.15912248033124046,0.19575534445524218,0.16376301646232605,0.18873320519924164,0.6347614049911499
10,0.15822850651032216,0.19482275964379311,0.17021150887012482,0.19637927412986755,0.6281016707420349
11,0.15788988930148048,0.19455529163718224,0.17689718306064606,0.2026454657316208,0.6182183384895324
12,0.15726889669895172,0.19274649060845378,0.18226565420627594,0.2087395191192627,0.6141923785209655
13,0.15683346785403587,0.19245074837088583,0.18922477960586548,0.21445819735527039,0.6033332467079162
14,0.15599701412626216,0.1922432120335102,0.19589538872241974,0.21961450576782227,0.5935771346092225
15,0.15576186212333473,0.19166150549054145,0.20156711339950562,0.22567713260650635,0.58866947889328
16,0.15537770978502324,0.1901304768681526,0.2065286785364151,0.2299126237630844,0.5743333101272583
17,0.15508721084208102,0.19004724293708802,0.21038444340229034,0.23422105610370636,0.5733698844909668
18,0.15464135239253174,0.18965346497774124,0.2138780802488327,0.23799395561218262,0.5645769357681274
19,0.15417819772217725,0.1903218648087978,0.21979767084121704,0.2426595687866211,0.5675343155860901
20,0.15433749475994626,0.1900621987724304,0.22307072579860687,0.2472275048494339,0.5674885272979736
21,0.15394394502446457,0.1885400243997574,0.2235429286956787,0.2516823709011078,0.562361478805542
22,0.15362198650836945,0.188847239626646,0.2272915244102478,0.25438040494918823,0.560831892490387
23,0.15377196266844467,0.1882957863998413,0.23043100535869598,0.25759223103523254,0.5575833797454834
24,0.15428911350868843,0.18923904968976973,0.2336588352918625,0.258046954870224,0.5510674238204956
25,0.15335005038493388,0.18823455416679385,0.23538747429847717,0.26231637597084045,0.5574381828308106
26,0.15355178713798523,0.1877770083129406,0.2375018447637558,0.2653917372226715,0.5396435856819153
27,0.1528935343832583,0.186927679721117,0.2386390119791031,0.27249157428741455,0.5409961581230164
28,0.15299907246151487,0.18764846607089042,0.24286070466041565,0.27190741896629333,0.5458609223365783
29,0.15307652426732554,0.18744295698285102,0.2429327517747879,0.2743822932243347,0.5391675353050231
30,0.15269119675095016,0.18722251937747,0.24698324501514435,0.27751433849334717,0.5365028023719788
31,0.15288666132334117,0.18760343421518805,0.24809227883815765,0.2817787230014801,0.5275975644588471
32,0.1526203457568143,0.1872896948850155,0.2514307498931885,0.2859935462474823,0.5269851326942444
33,0.15240955352783203,0.18677864975631236,0.25274693965911865,0.2881757616996765,0.5293183624744415
34,0.1524554458824364,0.18665913944602014,0.25389713048934937,0.2879333794116974,0.5297655701637268
35,0.15242596171997688,0.18700815930485726,0.2560056447982788,0.2910127341747284,0.5224749922752381
36,0.1519739861423905,0.18681539811611175,0.2564871311187744,0.29304561018943787,0.5206845283508301
37,0.15228546914216634,0.18702175882339478,0.2590884864330292,0.29551178216934204,0.5160006999969482
38,0.15206179103335818,0.18638808898448941,0.25958919525146484,0.29857632517814636,0.5230732440948487
39,0.15236180215268522,0.18651432547569274,0.26041993498802185,0.2993197441101074,0.5235817432403564
40,0.15181315106314583,0.1856516197133064,0.26069268584251404,0.3028225600719452,0.5192609548568725
41,0.15143576626842087,0.1855724933540821,0.2634934186935425,0.306535542011261,0.5113454699516297
42,0.1517996530275087,0.18586991222381594,0.26543688774108887,0.30897244811058044,0.5169121742248535
43,0.1520025629449535,0.18550642575263976,0.26445525884628296,0.3096037209033966,0.5188439846038818
44,0.15157216505424395,0.18598385109245777,0.2660713493824005,0.3109062612056732,0.5087004363536834
45,0.15171514934784658,0.186182526665926,0.2691001892089844,0.3119238018989563,0.5101470351219177
46,0.15161174495477933,0.18619334223866463,0.2682110071182251,0.31201261281967163,0.5145248770713806
47,0.1511798750709843,0.18574089498519897,0.2716865539550781,0.31344929337501526,0.5150346755981445
48,0.15103458069466255,0.1855760477292538,0.26929187774658203,0.31683894991874695,0.5138592839241027
49,0.1514503585325705,0.18560283697485924,0.26945585012435913,0.3166894018650055,0.5080484509468078
