epoch,train_loss,val_loss,lr,secs
0,0.4759713371057768,0.2983712375164032,0.001,37.41695857048035
1,0.21693540867921468,0.2587703466415405,0.001,40.246607542037964
2,0.17843446216067751,0.16828605234622956,0.001,39.12487554550171
3,0.1641882412336968,0.16097976565361022,0.001,62.09027576446533
4,0.15608910652431282,0.15597553551197052,0.001,33.40090727806091
5,0.14956968136735865,0.15205044150352479,0.001,40.16777443885803
6,0.14470389082625107,0.1469676524400711,0.001,37.395479679107666
7,0.1403147747387757,0.17368608415126802,0.001,40.37557649612427
8,0.13681589791903626,0.1472722887992859,0.001,40.44547390937805
9,0.13349555553616704,0.15482681393623351,0.001,39.34358549118042
10,0.13015712938598684,0.1567632019519806,0.001,39.3297643661499
11,0.1272004186301618,0.19807363748550416,0.001,39.09436559677124
12,0.12397134827600943,0.20636105239391328,0.0005,36.2157027721405
13,0.12193456493519447,0.16537674963474275,0.0005,37.31091356277466
14,0.1210916112806346,0.1382847934961319,0.0005,40.20260500907898
15,0.11989213667205863,0.15261808633804322,0.0005,40.35217094421387
16,0.11855861907069748,0.13897122740745543,0.0005,34.681838274002075
17,0.11756897314980223,0.1315498784184456,0.0005,34.28008770942688
18,0.11677389974529678,0.1504052013158798,0.0005,35.176416635513306
19,0.11514721790681014,0.131494177877903,0.0005,32.92510795593262
20,0.1143040922847954,0.1467152714729309,0.0005,32.76602220535278
21,0.11398860349042995,0.13182411789894105,0.0005,33.64778542518616
22,0.11303027840079488,0.1339532434940338,0.0005,34.50799536705017
23,0.11228738604365168,0.13788119852542877,0.0005,34.964022159576416
24,0.11141547600965242,0.13308818489313126,0.0005,34.435481548309326
25,0.11042066401726491,0.14510549902915953,0.00025,34.3538384437561
26,0.10936755425221212,0.11854470074176789,0.00025,30.55396604537964
27,0.109209035900799,0.11568659543991089,0.00025,31.00630283355713
28,0.10908577671727619,0.13341517150402069,0.00025,28.53077507019043
29,0.10799028825115513,0.12395100146532059,0.00025,28.000749111175537
30,0.10772095016531043,0.1329001009464264,0.00025,29.735679864883423
31,0.10764932592172881,0.13663418591022491,0.00025,27.64927053451538
32,0.1080758698485993,0.11672905087471008,0.00025,29.714463710784912
33,0.1070112966605135,0.13401394784450532,0.000125,29.51964807510376
34,0.10659692033722594,0.12488800585269928,0.000125,30.777350664138794
35,0.10636740500057065,0.12916719615459443,0.000125,33.1152081489563
