epoch,train_loss,val_loss,lr,secs
0,0.5001756240924199,0.3743283450603485,0.001,21.255729913711548
1,0.19262319107850392,0.13828776280085245,0.001,20.767483234405518
2,0.10564950332045556,0.08316426972548167,0.001,21.475152492523193
3,0.0674650796999534,0.055442834893862404,0.001,21.420373678207397
4,0.04700142269333204,0.03983564799030622,0.001,21.038329124450684
5,0.03489155620336533,0.030391909802953403,0.001,21.282763481140137
6,0.02734769315769275,0.024159541974465053,0.001,21.98995065689087
7,0.022181976151963077,0.01981663207213084,0.001,21.200616121292114
8,0.018544141948223115,0.016762837146719296,0.001,22.31133270263672
9,0.015819657469789188,0.01472052838653326,0.001,21.43105435371399
