epoch,train_loss,val_loss,gamma_rgb,gamma_depth,res_mag
0,0.32287499606609343,0.31736548941930137,-0.02724090963602066,-0.030924972146749496,0.23968998591105142
1,0.3106456289688746,0.2981542909463247,-0.06610091775655746,-0.06480047106742859,0.6402886708577474
2,0.29004860917727154,0.2768781560341517,-0.0949413850903511,-0.09778396040201187,0.8189899921417236
3,0.27573872605959576,0.2641916082640489,-0.11468350887298584,-0.12169117480516434,0.8093254367510477
4,0.2666149338086446,0.2577037491897742,-0.12953080236911774,-0.13768167793750763,0.8208766579627991
5,0.2611610492070516,0.2530390268603961,-0.14162737131118774,-0.15096203982830048,0.8559763034184774
6,0.25711092054843904,0.2496542419433594,-0.15178224444389343,-0.16219735145568848,0.8560365041097006
7,0.2545960952838262,0.24700253611803055,-0.16120754182338715,-0.1725243628025055,0.8613461256027222
8,0.25161512394746144,0.24474807316263517,-0.16957177221775055,-0.1818055957555771,0.8680190443992615
9,0.24944940557082493,0.24334659364819525,-0.17707622051239014,-0.19040639698505402,0.8660865823427836
10,0.2478768343726794,0.24173881463209787,-0.18379098176956177,-0.19844114780426025,0.8859384059906006
11,0.2463056872288386,0.24066877321998278,-0.18966418504714966,-0.20622825622558594,0.8828981121381124
12,0.24492893914381664,0.2395128062367439,-0.1951419562101364,-0.2130647599697113,0.8745978275934855
13,0.24454358170429866,0.23878965169390043,-0.20011591911315918,-0.21966898441314697,0.8783846894900004
14,0.24320310403903325,0.2381139410515626,-0.20464715361595154,-0.22573423385620117,0.8685757915178934
15,0.24227145860592525,0.23666349439223608,-0.20889079570770264,-0.23125876486301422,0.8772921164830526
16,0.24191946933666866,0.23657439239025116,-0.21288660168647766,-0.2353729009628296,0.8690270582834879
17,0.24172184864679971,0.235738526091973,-0.21639828383922577,-0.2397325038909912,0.8799105286598206
18,0.24087739288806914,0.23541708000500997,-0.22030112147331238,-0.24436575174331665,0.8757205804189047
19,0.2402814914782842,0.23512660637696584,-0.22333811223506927,-0.24909274280071259,0.8735383351643881
20,0.23987880647182463,0.23413116601506867,-0.22694620490074158,-0.2521992027759552,0.8702906568845113
21,0.239020503560702,0.23377228578925133,-0.22984828054904938,-0.25652438402175903,0.8614558974901835
22,0.23863913665215175,0.23380430175065994,-0.23282767832279205,-0.25942590832710266,0.8630620241165161
23,0.23876665979623796,0.2327375800192356,-0.23609678447246552,-0.26285320520401,0.8595081369082133
24,0.2379088009397189,0.2328220182140668,-0.2389262616634369,-0.2656818628311157,0.8526211182276408
25,0.23735032379627227,0.23251323101321855,-0.2417079508304596,-0.2690476179122925,0.854561984539032
26,0.23718129396438598,0.23224497392177582,-0.24420484900474548,-0.2716328501701355,0.8472746213277181
27,0.23716135571400324,0.23175171351631482,-0.24674561619758606,-0.2737549841403961,0.8393986821174622
28,0.23719178090492885,0.23150044372876485,-0.24909944832324982,-0.27552124857902527,0.8451251983642578
29,0.23655928870042164,0.23185109328428902,-0.2515017092227936,-0.27802497148513794,0.8518267472585043
30,0.23653821051120758,0.23152920528650286,-0.2536441683769226,-0.27960145473480225,0.8500690857569376
31,0.23623379121224086,0.23096051999727885,-0.25582748651504517,-0.28162890672683716,0.8423935572306315
32,0.23603956947724025,0.23070213060180345,-0.25797194242477417,-0.2834780216217041,0.8535026907920837
33,0.23607090264558792,0.23029416651725768,-0.25976186990737915,-0.28553420305252075,0.8358705838521322
34,0.2356296067436536,0.2300143844683965,-0.26210978627204895,-0.2871703505516052,0.8342595895131429
35,0.23567723482847214,0.23006390754580497,-0.26363545656204224,-0.28726160526275635,0.8419926762580872
36,0.23530923475821813,0.22982550553480785,-0.26545146107673645,-0.28919661045074463,0.8351711432139078
37,0.23521063675483067,0.22948120156327886,-0.2672456204891205,-0.2906988561153412,0.8411586880683899
38,0.2350578452150027,0.22940491522947948,-0.2688291668891907,-0.2924996316432953,0.8374566237131754
39,0.2347826401392619,0.2297527853091558,-0.2700292468070984,-0.29448819160461426,0.8402631282806396
40,0.2347036416331927,0.22917878411213558,-0.27147138118743896,-0.2946777939796448,0.8284268776575724
41,0.23500935981671014,0.2292417299548785,-0.2729136645793915,-0.2957378923892975,0.8277477820714315
42,0.2347628970940908,0.22876030287146568,-0.2744845747947693,-0.2979370653629303,0.827652116616567
43,0.23468438237905503,0.22879695712924006,-0.2760849595069885,-0.29845836758613586,0.8343339562416077
44,0.23428628742694854,0.22903863085110984,-0.27761051058769226,-0.30078497529029846,0.8263694445292155
45,0.23425049632787703,0.22894802277088167,-0.27823835611343384,-0.30130791664123535,0.8243734836578369
46,0.2341390053431193,0.22862348848581315,-0.27974197268486023,-0.30245593190193176,0.824541449546814
47,0.23396679212649663,0.22895189646879832,-0.2808733880519867,-0.3042137026786804,0.8156375090281168
48,0.23401982635259627,0.22874266574780147,-0.28145140409469604,-0.3047980070114136,0.8130898078282675
49,0.23340895821650823,0.2278364180088043,-0.2832828462123871,-0.3063028156757355,0.8173996607462565
