epoch,train_loss,val_loss,lr,secs
0,0.6227840318762022,0.5429427772760391,0.001,27.414896965026855
1,0.3950869112179197,0.36946581304073334,0.001,23.992653369903564
2,0.33697778397593003,0.330315463244915,0.001,24.71066689491272
3,0.30164189277024106,0.2856862097978592,0.001,25.271754503250122
4,0.277586593710143,0.26548485457897186,0.001,24.826257944107056
5,0.25953103139482697,0.2509092390537262,0.001,24.0364727973938
6,0.24699243440710264,0.24128104373812675,0.001,24.299182891845703
7,0.23670285683253717,0.2302122376859188,0.001,24.33381748199463
8,0.22889449575851703,0.2251485139131546,0.001,24.283123016357422
9,0.22287301873338633,0.22124896198511124,0.001,24.436601400375366
10,0.2195841783079608,0.2143857665359974,0.001,24.263347864151
11,0.21344474523231902,0.20866507291793823,0.001,24.68921446800232
12,0.20847305141646286,0.2044389694929123,0.001,24.964325189590454
13,0.20498668479508367,0.20176119729876518,0.001,24.5771324634552
14,0.20131832258454685,0.20960889384150505,0.001,26.003822803497314
15,0.19797171600933733,0.1958046741783619,0.001,26.510388612747192
16,0.19431939053124395,0.1923387385904789,0.001,26.67150640487671
17,0.1910076686020555,0.19240983948111534,0.001,26.190642833709717
18,0.18696537202802196,0.18665773794054985,0.001,26.20687246322632
19,0.18355379484850784,0.18219103664159775,0.001,26.543930530548096
20,0.1805408314384263,0.17722665518522263,0.001,26.083605527877808
21,0.17824096104194379,0.17421961575746536,0.001,26.204552173614502
22,0.17517245894876018,0.17421777918934822,0.001,26.39345622062683
23,0.17306509870907355,0.17186381295323372,0.001,26.19029974937439
24,0.17065575307813183,0.16802113130688667,0.001,25.838465213775635
25,0.1686028046854611,0.16794848069548607,0.001,26.12738871574402
26,0.1665486287454079,0.16561254858970642,0.001,26.08525824546814
27,0.16450333081442733,0.16168348491191864,0.001,26.088510274887085
28,0.1630249747942234,0.16310939565300941,0.001,26.422028303146362
29,0.16158424009536876,0.1633431762456894,0.001,26.893428325653076
30,0.1601895684825963,0.16041480004787445,0.001,26.648406267166138
31,0.15844649333378363,0.15740471705794334,0.001,26.02726984024048
32,0.15769809278948554,0.15693268924951553,0.001,26.505669832229614
33,0.15606563255704684,0.1572193168103695,0.001,26.47503352165222
34,0.15514755917006526,0.1528758890926838,0.001,26.501940488815308
35,0.15411741414974475,0.15204185247421265,0.001,26.00449848175049
36,0.15303261937766238,0.1519612930715084,0.001,25.878735303878784
37,0.15228441563145867,0.15140945836901665,0.001,29.899702787399292
38,0.15073938513624258,0.1510632149875164,0.001,27.794169902801514
39,0.1501978522744672,0.1520184688270092,0.001,27.449722051620483
40,0.1490948991528873,0.14898743107914925,0.001,28.16825270652771
41,0.1484025840101571,0.15449634194374084,0.001,28.069227695465088
42,0.14805772592281474,0.14733032137155533,0.001,27.7119038105011
43,0.14700687034376736,0.14961658790707588,0.001,27.22765064239502
44,0.14671109770906382,0.1463778167963028,0.001,27.56048345565796
45,0.14594331897538285,0.14662505686283112,0.001,28.102800607681274
46,0.14574466029117847,0.14522911980748177,0.001,27.251460075378418
47,0.1449966759517275,0.14419687911868095,0.001,27.288986206054688
48,0.14429026533817424,0.14675909653306007,0.001,27.929706811904907
49,0.14401899791997055,0.146097082644701,0.001,27.340569019317627
