epoch,train_loss,val_loss,gamma_rd,gamma_dr,res_mag,entropy
0,0.32408368984858194,0.31852501572072506,0.0,0.023988693952560425,0.2131918172041575,5.2783637046813965
1,0.32365122934182483,0.3183224062184493,0.0,0.02932128496468067,0.22961690028508505,5.133064428965251
2,0.32262000640233357,0.31818755564391615,0.0,0.03567531704902649,0.2625487943490346,5.007761637369792
3,0.323649196823438,0.31812015157838663,0.0,0.037760186940431595,0.26832204063733417,4.910690943400065
4,0.3228490571180979,0.31807560785015426,0.0,0.04046361520886421,0.2625521620114644,4.878932634989421
5,0.322907089193662,0.3179219726423423,0.0,0.04245704784989357,0.25405118862787884,4.776699542999268
6,0.322696923216184,0.3179193880687157,0.0,0.04699821025133133,0.25208142399787903,4.704887866973877
7,0.3223260054985682,0.31797132466385764,0.0,0.04995480924844742,0.24819630881150564,4.694029808044434
8,0.3231391549110413,0.31779112821469707,0.0,0.05174487829208374,0.22755010426044464,4.636312007904053
9,0.3227221717437108,0.31791933854371307,0.0,0.05596788227558136,0.21641652286052704,4.5741244951883955
10,0.3221672256787618,0.31786915659109755,0.0,0.06059990078210831,0.20364928245544434,4.523034731547038
11,0.32160934110482536,0.31800280909240247,0.0,0.06481865793466568,0.20753338932991028,4.473818302154541
12,0.3218624949455261,0.31767343814224,0.0,0.06720544397830963,0.20232448478539786,4.432735761006673
13,0.32157320777575177,0.317586894223094,0.0,0.0714176744222641,0.19574772318204245,4.375659306844075
14,0.32174819707870483,0.317327224231263,0.0,0.07312998175621033,0.19130094349384308,4.334613958994548
15,0.321479003628095,0.3171328613375624,0.0,0.07841413468122482,0.1857586552699407,4.319694519042969
16,0.3214038958152135,0.31696165036757784,0.0,0.07986529171466827,0.1841354767481486,4.308125019073486
17,0.32136044402917224,0.3168157208959262,0.0,0.08414405584335327,0.18689135710398355,4.245547453562419
18,0.32096228102842966,0.3168882588560382,0.0,0.08429953455924988,0.1777609040339788,4.208369731903076
19,0.32117525637149813,0.3167234550391634,0.0,0.08841469883918762,0.1856779307126999,4.222870667775472
20,0.3212278614441554,0.31654416852643097,0.0,0.09030433744192123,0.1746084839105606,4.211292743682861
21,0.3208901127179464,0.31666343316485485,0.0,0.09279533475637436,0.17624049882094064,4.170159975687663
22,0.3207200229167938,0.31649653782844545,0.0,0.09479738026857376,0.17308489481608072,4.14681879679362
23,0.3204199234644572,0.316438930204014,0.0,0.09640266746282578,0.17079740266005197,4.124675432840983
24,0.3200512836376826,0.3162699165229996,0.0,0.09588483721017838,0.16925505300362906,4.120113690694173
25,0.32032940089702605,0.3164900104627013,0.0,0.10026117414236069,0.16961452861626944,4.116083304087321
26,0.32063294450442,0.3162708896070719,0.0,0.09951204061508179,0.16310049096743265,4.108595053354899
27,0.3204234023888906,0.3165796874016524,0.0,0.10142756998538971,0.1700937251249949,4.057130018870036
28,0.3204659988482793,0.31621871599604684,0.0,0.10127835720777512,0.1641900291045507,4.063480377197266
29,0.3196394195159276,0.3162303259814779,0.0,0.10375839471817017,0.17018035550912222,4.0403900146484375
30,0.32024371027946474,0.3170599741528432,0.0,0.10486387461423874,0.17851313948631287,4.005535284678142
31,0.32072655657927196,0.31609990214407446,0.0,0.10525067895650864,0.17225592335065207,4.030033111572266
32,0.31991083125273384,0.31621325578639903,0.0,0.10675441473722458,0.16494926313559213,4.013819535573323
33,0.3202449639638265,0.31594928542673584,0.0,0.10641954839229584,0.1691341499487559,3.9940715630849204
34,0.3206327607234319,0.3158170173530777,0.0,0.10748441517353058,0.17077727615833282,3.976084311803182
35,0.32006266514460247,0.31614050728728377,0.0,0.10682494938373566,0.16495956480503082,3.955161968866984
36,0.3199029187361399,0.31583263116876287,0.0,0.10915517061948776,0.16047181685765585,3.9503647486368814
37,0.3199411044518153,0.3161501686736941,0.0,0.11017059534788132,0.16987227896849313,3.9279747009277344
38,0.319930640856425,0.3161126251861453,0.0,0.11082863807678223,0.16542688508828482,3.945390542348226
39,0.3198802630106608,0.315851076113681,0.0,0.11161834746599197,0.15702180564403534,3.956829786300659
40,0.31956924895445504,0.315912179779013,0.0,0.11205752938985825,0.16686686873435974,3.911665916442871
41,0.3198269118865331,0.3157634416068594,0.0,0.11165089160203934,0.15827134748299918,3.9277074337005615
42,0.3194089621305466,0.31572676612138745,0.0,0.11442762613296509,0.16372271378835043,3.9113152821858725
43,0.3197547276814779,0.3158182157193621,0.0,0.11350531131029129,0.16316462059815726,3.917651812235514
44,0.3192753235499064,0.31621289978275696,0.0,0.11330355703830719,0.16403895119825998,3.8785458405812583
45,0.3192444880803426,0.31570209883401795,0.0,0.114275723695755,0.16770534217357635,3.881946643193563
46,0.3193063179651896,0.315688008137544,0.0,0.1147131696343422,0.1634749968846639,3.8500818411509194
47,0.3195924739042918,0.31537102693816027,0.0,0.11728845536708832,0.1648034155368805,3.863716999689738
48,0.3194413910309474,0.3154986697648962,0.0,0.11759871244430542,0.16590136786301932,3.840593099594116
49,0.3193246454000473,0.31569352304190396,0.0,0.11951680481433868,0.16435431937376657,3.841118494669596
