epoch,train_loss,val_loss,gamma_rgb,gamma_depth,res_mag
0,0.34425082868999907,0.34887309347192447,-0.0523427315056324,0.04479072615504265,0.5292420983314514
1,0.3116267032093472,0.299034336155653,-0.10476861149072647,0.08654282242059708,0.977178951104482
2,0.28418546716372173,0.2782423299958308,-0.12906353175640106,0.11477061361074448,0.9358401993910471
3,0.27296500470903184,0.26972708540956175,-0.14423316717147827,0.13437864184379578,0.9556176463762919
4,0.2668730351659987,0.26477416417300703,-0.15534991025924683,0.1517655998468399,0.9130128920078278
5,0.2624370038509369,0.2610139364560445,-0.16344469785690308,0.1649722158908844,0.9047343730926514
6,0.25903784765137566,0.25763742287059627,-0.17093364894390106,0.17881529033184052,0.8978536625703176
7,0.2567550500233968,0.25641646002531054,-0.17729060351848602,0.18939600884914398,0.8487438360850016
8,0.2548163609372245,0.2543082936108112,-0.18295735120773315,0.19944564998149872,0.8592471480369568
9,0.2530416624413596,0.252357494961222,-0.18827293813228607,0.20765385031700134,0.8425401548544565
10,0.25170354379547966,0.25085384999712307,-0.19321608543395996,0.21597306430339813,0.8504981795946757
11,0.25074437922901577,0.2502652290085952,-0.19750559329986572,0.22220847010612488,0.8321229418118795
12,0.24970766835742528,0.24988414160112538,-0.2019786238670349,0.22754020988941193,0.805923173824946
13,0.2489583389626609,0.24867079693377023,-0.205656960606575,0.23277521133422852,0.7976056834061941
14,0.2482860830095079,0.24828189951380095,-0.20945626497268677,0.23766957223415375,0.791540523370107
15,0.24800343910853068,0.24721085569759207,-0.21304327249526978,0.24046704173088074,0.7865536709626516
16,0.24714370800389185,0.24683168323139348,-0.21625491976737976,0.245151087641716,0.7738131980101267
17,0.24694880247116088,0.2459696757555008,-0.21942107379436493,0.24991004168987274,0.7702631155649821
18,0.24651775426334804,0.24598518361945945,-0.2223626673221588,0.251808762550354,0.7565716604391733
19,0.24627199007405176,0.24614081705609958,-0.22504542768001556,0.25527384877204895,0.755545993645986
20,0.2460572557316886,0.24569993470708526,-0.22786787152290344,0.26023635268211365,0.7516637841860453
21,0.24556696944766573,0.2451958029280106,-0.23076903820037842,0.2609710395336151,0.7491371929645538
22,0.24496485624048445,0.24422047745684783,-0.23376227915287018,0.2654557526111603,0.7384060323238373
23,0.2451194256544113,0.2444789507855972,-0.23656345903873444,0.26700761914253235,0.7263333896795908
24,0.24471909271346198,0.24362782047092915,-0.23910783231258392,0.2705097198486328,0.7312589983145396
25,0.24487235910362667,0.2442229600985845,-0.24185621738433838,0.27213773131370544,0.7287539641062418
26,0.2445211516486274,0.243467353028059,-0.2441638857126236,0.2745749056339264,0.7307555079460144
27,0.2441327561934789,0.24317676010926567,-0.24647033214569092,0.2779328525066376,0.7207261323928833
28,0.24407553209198846,0.2431450636714697,-0.24936911463737488,0.28011977672576904,0.7025633951028188
29,0.24384341703520881,0.24353831302622952,-0.25139281153678894,0.28259727358818054,0.7078010340531667
30,0.24378292593691084,0.24320491021573543,-0.2535499632358551,0.28518638014793396,0.7069740990797678
31,0.24343029591772292,0.24351135105391342,-0.25540226697921753,0.2871569097042084,0.7067659993966421
32,0.2430583053165012,0.24307815388341744,-0.25755441188812256,0.288865864276886,0.7023756206035614
33,0.2433791329463323,0.242606709754467,-0.2600398063659668,0.29280710220336914,0.6915096839269003
34,0.24317716393205854,0.24250768908162912,-0.2617405652999878,0.29406464099884033,0.6820968488852183
35,0.24289286533991497,0.2425786529878775,-0.26317575573921204,0.2955276668071747,0.6906192501386007
36,0.2429110457499822,0.24258626739382746,-0.2653639018535614,0.2981412708759308,0.6806860168774923
37,0.24275690449608697,0.24225249766210713,-0.2673339545726776,0.301350474357605,0.6804735561211904
38,0.24262626734044818,0.24198976833422978,-0.2682603597640991,0.3015843629837036,0.6801705757776896
39,0.2426065097252528,0.24270413279533387,-0.2697495222091675,0.30319944024086,0.669314463933309
40,0.24271700547801123,0.24212901337643467,-0.27219295501708984,0.3042018413543701,0.6791657507419586
41,0.24288640916347504,0.24228119365175563,-0.2727997899055481,0.30856314301490784,0.6800133188565572
42,0.24248678750462002,0.2423937146613995,-0.2736508846282959,0.30620211362838745,0.673855592807134
43,0.24250320295492808,0.24222953512171905,-0.2750822901725769,0.3098785877227783,0.6693707009156545
44,0.24235563841130997,0.24151866731444993,-0.2765549421310425,0.3098493218421936,0.6697478493054708
45,0.24242632455295987,0.24174880564808846,-0.27754664421081543,0.3113194406032562,0.6712396343549093
46,0.24218163655863867,0.24131260624925296,-0.27893492579460144,0.3126428723335266,0.6642628312110901
47,0.24239619539843665,0.241474746337533,-0.28078821301460266,0.3156096935272217,0.657253752152125
48,0.24180607994397482,0.24147208115458488,-0.2812822461128235,0.3155572712421417,0.6524889667828878
49,0.24184003704124027,0.2415299927522739,-0.2833591103553772,0.31663134694099426,0.6614721516768137
