epoch,train_loss,val_loss,gamma_rd,gamma_dr,res_mag,entropy
0,0.33153869654681234,0.3740182604587078,0.026932917535305023,0.022193988785147667,0.47514220476150515,5.299268960952759
1,0.3313080547629176,0.37378634705781943,0.031188979744911194,0.033189333975315094,0.43345544338226316,5.0063636302948
2,0.3308918935221595,0.37379896745979785,0.040669701993465424,0.042328204959630966,0.4452361762523651,4.8900719165802
3,0.3300914063646987,0.3730353846287727,0.05460894852876663,0.050730396062135696,0.45697476863861086,4.951387739181518
4,0.3299079795141478,0.3722718842083216,0.07073184847831726,0.060688845813274384,0.4635977208614349,5.0026623725891115
5,0.3285609588429734,0.37328768064320095,0.08362918347120285,0.06667637079954147,0.5244324862957,5.025655508041382
6,0.3282189449748477,0.37369089162886143,0.08890780806541443,0.07001590728759766,0.5655252397060394,4.958197736740113
7,0.32881347553150075,0.37344917754411694,0.0926695466041565,0.07095950096845627,0.582804274559021,4.926704978942871
8,0.327736268172393,0.37229000439643856,0.09961605072021484,0.0764426663517952,0.5984792709350586,4.830543279647827
9,0.32705325452057094,0.37175198055028913,0.10284142941236496,0.08032428473234177,0.5792521715164185,4.778484535217285
10,0.3267883207346942,0.37126668320298195,0.10317405313253403,0.0807255208492279,0.571168839931488,4.742832088470459
11,0.3261852320787069,0.37149440251648425,0.10620870441198349,0.0814395323395729,0.5730189025402069,4.6388074398040775
12,0.3257276286949983,0.37092888303875926,0.10800741612911224,0.08726907521486282,0.5586198687553405,4.649423027038575
13,0.3259515995914872,0.37080855966091153,0.10892263799905777,0.0872485488653183,0.5242228031158447,4.614191961288452
14,0.32563072443008423,0.37180381814837454,0.11277462542057037,0.08843550086021423,0.5104144215583801,4.55833740234375
15,0.32635064302264033,0.3706116723531484,0.11609423160552979,0.09264691174030304,0.5377059042453766,4.568564128875733
16,0.3247107114340808,0.36985561174750325,0.11946964263916016,0.0943572148680687,0.514991819858551,4.52468843460083
17,0.3249043894780649,0.37183558989048004,0.1203145831823349,0.10056658834218979,0.5375098705291748,4.4993141174316404
18,0.32396880356041163,0.36930980282068254,0.12197165191173553,0.10138165205717087,0.5042953252792358,4.480326366424561
19,0.3249020359000644,0.36990724952995774,0.12418650835752487,0.1051163300871849,0.4977432906627655,4.449938726425171
20,0.32419337855803,0.3716001657450199,0.12773767113685608,0.10602717101573944,0.5023799300193786,4.473389720916748
21,0.32397821787241343,0.3717112389177084,0.12799867987632751,0.11021929234266281,0.5069703161716461,4.454320764541626
22,0.3237376575534408,0.37085144543051723,0.12823286652565002,0.1131754219532013,0.48577553033828735,4.424972057342529
23,0.3236135711541047,0.3699417047339678,0.12983466684818268,0.11982183158397675,0.47863261103630067,4.392736577987671
24,0.3245928351943557,0.3713278482967615,0.1342909336090088,0.12079270929098129,0.4901780545711517,4.372711086273194
25,0.3236397988087422,0.3711610708522797,0.1357487142086029,0.1224202811717987,0.49164505004882814,4.3737719535827635
26,0.32362345344311483,0.3715991957360506,0.13886325061321259,0.1256256401538849,0.4915760219097137,4.347956037521362
