epoch,train_loss,val_loss,gamma_rgb,gamma_depth,res_mag
0,0.2776519477367401,0.2928754839889705,0.03891945257782936,0.036004845052957535,0.27753055840730667
1,0.2631683626345226,0.26595950378924604,0.08351752161979675,0.08487001061439514,0.7985280007123947
2,0.23911100029945373,0.23855136440843344,0.11910419166088104,0.1256479173898697,0.9800760298967361
3,0.2221761839730399,0.22627494865059855,0.14646340906620026,0.14814196527004242,1.071541666984558
4,0.21247125566005706,0.21796708534955977,0.1661064326763153,0.16346444189548492,1.1265669465065002
5,0.20708144903182985,0.21348461697399618,0.18096700310707092,0.17473319172859192,1.1306439936161041
6,0.20343380357537952,0.20899037374556068,0.19258174300193787,0.18306304514408112,1.1427225172519684
7,0.2007917732000351,0.20685523343384266,0.20170453190803528,0.19020289182662964,1.1175530850887299
8,0.19883938091141837,0.20479212878644465,0.208591029047966,0.19615231454372406,1.1356370151042938
9,0.19726667191301073,0.20292886661887166,0.21542836725711823,0.20156064629554749,1.0808241963386536
10,0.19561496589865005,0.20299850385189058,0.22118934988975525,0.20738863945007324,1.1039171814918518
11,0.1944717871291297,0.20155161416232587,0.22639110684394836,0.21245476603507996,1.1111626327037811
12,0.19306918467794146,0.19946133062243462,0.23156845569610596,0.21814773976802826,1.0628536343574524
13,0.19202559888362886,0.1987132167339325,0.23703959584236145,0.2233435958623886,1.0559355020523071
14,0.1912293872662953,0.19786510485708714,0.2421015202999115,0.2285916805267334,1.0612737834453583
15,0.1905818372964859,0.19745218799114228,0.24683645367622375,0.23314300179481506,1.0291069149971008
16,0.18951366671494074,0.19630271416604517,0.2517154812812805,0.23758402466773987,1.019329160451889
17,0.18873742648533412,0.19507769499123095,0.25743016600608826,0.24168874323368073,1.0395046174526215
18,0.18840588458946772,0.19517844512462615,0.2624964714050293,0.2459975928068161,1.04107266664505
19,0.18751550998006547,0.19415392673015594,0.26829928159713745,0.2494707554578781,1.0109001398086548
20,0.18729651655469623,0.19364230550676584,0.2731887698173523,0.25443771481513977,1.011767253279686
21,0.18639758740152632,0.19395721481740474,0.277729332447052,0.25810039043426514,1.0473130643367767
22,0.18572029556546893,0.19242880890071393,0.28252190351486206,0.26134756207466125,1.025905281305313
23,0.18570815665381296,0.1925663814678788,0.28728049993515015,0.26544299721717834,1.0054774731397629
24,0.18528891503810882,0.19135095622837542,0.2913780212402344,0.2684302031993866,1.0076093971729279
25,0.18551910647324155,0.1911851566761732,0.2957567572593689,0.271271675825119,1.0282653272151947
26,0.18469161817005703,0.19096827730834487,0.29999446868896484,0.2739521563053131,1.0096430480480194
27,0.1842961915901729,0.19166167165338993,0.30399978160858154,0.27692505717277527,1.0226954519748688
28,0.18390296229294367,0.19029775947183372,0.30773061513900757,0.2792365849018097,0.9911939650774002
29,0.1836800149508885,0.19018278948217632,0.3116409480571747,0.2826923727989197,1.0119446367025375
30,0.1836382278374263,0.1894444595128298,0.31485113501548767,0.2840542197227478,1.0065408051013947
31,0.1833307078906468,0.18968561455905436,0.31795376539230347,0.286384642124176,1.0379612147808075
32,0.1835050459418978,0.18984473696053028,0.3209148645401001,0.2891564965248108,1.0253289639949799
33,0.18248096321310317,0.18893078940808772,0.324379563331604,0.29114022850990295,0.9996217787265778
34,0.18231472543307714,0.18898546610325573,0.32690367102622986,0.2944236397743225,0.9916808158159256
35,0.1824161205972944,0.18821695085465906,0.3300008177757263,0.2963802218437195,1.0075036585330963
36,0.1819887054818017,0.18871524131596087,0.33310654759407043,0.2977810502052307,1.0089257061481476
37,0.18228949648993356,0.1886931579336524,0.33560895919799805,0.3010531961917877,1.0214785486459732
38,0.18198029739516122,0.1881513059526682,0.3383358418941498,0.302761435508728,0.9972747266292572
39,0.1815368537391935,0.18830384340882303,0.34110307693481445,0.3049106299877167,1.0000887513160706
40,0.18169111694608417,0.18757044283151628,0.3435765206813812,0.30741748213768005,0.9812282919883728
41,0.18158535318715233,0.1886787653848529,0.34541743993759155,0.3102498948574066,0.9880802184343338
42,0.18150908606392996,0.18714280547648668,0.3484317660331726,0.31239932775497437,1.0031340569257736
43,0.1813447219984872,0.1872605406790972,0.3505605459213257,0.3136962056159973,1.0007385909557343
44,0.18123106275285994,0.1874684592410922,0.35354140400886536,0.31636491417884827,0.9960181266069412
45,0.1807972414152963,0.18804826481342313,0.35605132579803467,0.3190965950489044,1.0188775062561035
46,0.18077595702239446,0.18779820531904695,0.3585597276687622,0.32138630747795105,1.0149225294589996
47,0.1813302150794438,0.18681008447855713,0.36090636253356934,0.3234841227531433,0.9915526062250137
48,0.18084537727492198,0.18684102493673566,0.3629361093044281,0.32515761256217957,0.9997662752866745
49,0.18072789992604937,0.1873142252326012,0.3654819428920746,0.32787463068962097,0.9948959350585938
