category,image_auroc_max,image_auprc_max,image_auroc_topk_0.1pct,image_auprc_topk_0.1pct,image_auroc_topk_1pct,image_auprc_topk_1pct,pixel_auroc,pixel_auprc,aupro,num_test_images,num_anomalous
bagel,0.8848140495867768,0.970489968671989,0.9147727272727272,0.9757720945234922,0.9292355371900827,0.9802755396285003,0.9780926495612513,0.2893007704335905,0.8971967299254826,110,88
cable_gland,0.7465790914066777,0.9154720382442454,0.9370552818828681,0.9823128195927193,1.0,1.0,0.8255450969660424,0.007388610060391114,0.4648630574771797,108,87
carrot,0.6958473625140293,0.9169294803837826,0.6745230078563412,0.9093792696471105,0.6905162738496071,0.9164395836562622,0.9393597833484644,0.06503414212449664,0.8205145438503153,159,132
cookie,0.4403606102635229,0.7961169000325912,0.5072815533980582,0.8388441377612209,0.634882108183079,0.8860756782573154,0.9262850967580482,0.25769916952193844,0.7250069905238503,131,103
dowel,0.6135355029585798,0.8754445821068305,0.6283284023668638,0.8735273123474283,0.5906065088757397,0.8516351970698921,0.8897035465157168,0.019272871838597674,0.619740151959952,130,104
foam,0.775,0.9151350390363462,0.80625,0.9350367152886783,0.76625,0.9271553246099383,0.838745854821146,0.024653727537614165,0.5861918698835881,100,80
peach,0.35740203193033376,0.7335162090540874,0.4633526850507983,0.7825824542750281,0.5206821480406385,0.8314425730142683,0.9393261071126938,0.040678329780399564,0.7807830685840057,132,106
potato,0.491600790513834,0.8340089496587806,0.5296442687747035,0.8422929897102849,0.6393280632411067,0.8671159281241433,0.9468460686601203,0.0393623029433595,0.8167864373150119,114,92
rope,0.6924818840579711,0.8445880795831823,0.7355072463768115,0.8758590373518833,0.8777173913043479,0.9430622542941886,0.9602081682110454,0.26077749372736914,0.8440708022527276,101,69
tire,0.5793103448275863,0.8448156218520271,0.5691954022988506,0.8413318044854914,0.5728735632183908,0.8294060333357273,0.9235615558744916,0.025049350192319995,0.7226411954096733,112,87
MEAN,0.6277,0.8647,0.6766,0.8857,0.7222,0.9033,0.9168,0.1029,0.7278,1197,948
