category,res,native_wh,image_auroc_max,image_auprc_max,image_auroc_topk1,pixel_auroc,pixel_auprc,aupro
bagel,native,800x800,0.8538223140495868,0.9572672629154679,0.9101239669421488,0.9863000973715856,0.3546039719663302,0.9321883998742962
bagel,native_max,800x800,0.8538223140495868,0.9572672629154679,0.9101239669421488,0.9650769475279285,0.15376360231362085,0.8543955786520468
cable_gland,native,400x400,0.7110016420361248,0.8841032117285381,0.9923371647509579,0.9038200188913664,0.020131725946982242,0.6877929377315961
cable_gland,native_max,400x400,0.7110016420361248,0.8841032117285381,0.9923371647509579,0.9382236815693823,0.07543044817538326,0.7938011696906393
carrot,native,800x800,0.7370931537598204,0.9386503539756662,0.8302469135802469,0.9832746836183311,0.2858886162098384,0.9487177667928776
carrot,native_max,800x800,0.7370931537598204,0.9386503539756662,0.8302469135802469,0.9781678172258989,0.2570907938503769,0.9317802864685764
cookie,native,500x500,0.5707350901525658,0.853597716934914,0.7049237170596394,0.9664421819920892,0.4564235040287543,0.8577639574362658
cookie,native_max,500x500,0.5707350901525658,0.853597716934914,0.7049237170596394,0.9204517997385644,0.2077623912443126,0.690839753760717
dowel,native,400x400,0.5931952662721893,0.8395841682004053,0.7189349112426036,0.9674791386381674,0.1574849936669065,0.873998749440334
dowel,native_max,400x400,0.5931952662721893,0.8395841682004053,0.7189349112426036,0.9589063707058478,0.1239253510807814,0.8425515848986506
foam,native,900x900,0.6656249999999999,0.8822261529136832,0.6781250000000001,0.8817458534392766,0.083811568817102,0.6868590945533376
foam,native_max,900x900,0.6656249999999999,0.8822261529136832,0.6781250000000001,0.8749506512023475,0.12739693769375332,0.6832259034747937
peach,native,600x600,0.5696661828737299,0.8018539884302998,0.638243831640058,0.9802955013368956,0.16529412071217806,0.9285825897915994
peach,native_max,600x600,0.5696661828737299,0.8018539884302998,0.638243831640058,0.9666310781100873,0.062302331294900704,0.8828026135571482
potato,native,800x800,0.5978260869565217,0.8752705859370784,0.6235177865612648,0.9888720710318543,0.18954556001172945,0.9594092868036647
potato,native_max,800x800,0.5978260869565217,0.8752705859370784,0.6235177865612648,0.9868946342026426,0.10519805098038086,0.953021375084601
rope,native,900x400,0.6965579710144928,0.8390185688836429,0.8106884057971016,0.9819046374975484,0.3883721645383083,0.9163734380270011
rope,native_max,900x400,0.6965579710144928,0.8390185688836429,0.8106884057971016,0.9698520945735597,0.3081562585999004,0.8778716948376144
tire,native,600x800,0.5402298850574713,0.8276985694444216,0.6091954022988506,0.9423061253203068,0.03737837723725106,0.7801335480059706
tire,native_max,600x800,0.5402298850574713,0.8276985694444216,0.6091954022988506,0.9340446182533062,0.023186408724940783,0.7499544061463815
