kind,severity,n,s_full,delta_rgb_resid,delta_depth_resid,delta_no_resid
depth_only,medium,20,6.894677029675529,-0.5757023214889909,-0.05282538826998824,-0.6347502183750813
depth_only,mild,20,6.785793609549453,-0.6845857416150682,-0.034308758015115216,-0.7161649558688822
depth_only,strong,20,6.918373250015554,-0.5755314298865835,-0.08883439147265024,-0.6188270815089811
joint,medium,20,15.213013651311195,-0.5766163163502074,-0.02589899482782938,-0.5858192958584835
joint,mild,20,11.018553374739378,-1.2670016064578573,-0.00498864498314866,-1.271990251441006
joint,strong,20,15.563488420930373,0.12586151352957636,0.008190486637388972,0.12923534217751068
rgb_only,medium,20,15.199405939097659,-0.9557271495074333,0.0,-0.9557271495074333
rgb_only,mild,20,9.81845168208468,-1.3597527398220253,0.0,-1.3597527398220253
rgb_only,strong,20,15.519103657043312,-0.5222654068388041,0.0,-0.5222654068388041
