category,mean_image_auroc_max,mean_image_auprc_max,max_image_auroc_max,max_image_auprc_max,mean_image_auroc_topk_0.1pct,mean_image_auprc_topk_0.1pct,max_image_auroc_topk_0.1pct,max_image_auprc_topk_0.1pct,mean_image_auroc_topk_1pct,mean_image_auprc_topk_1pct,max_image_auroc_topk_1pct,max_image_auprc_topk_1pct,mean_pixel_auroc,mean_pixel_auprc,mean_aupro,max_pixel_auroc,max_pixel_auprc,max_aupro,num_test_images,num_anomalous
bagel,0.8729338842975207,0.9665106532301121,0.7215909090909091,0.8931588718748925,0.9044421487603306,0.9721130962225973,0.7463842975206612,0.9037558969885909,0.9266528925619835,0.9787311818866942,0.7882231404958678,0.9389366656001346,0.9779722156340412,0.2951394749287025,0.8966226494007176,0.9530382255247537,0.12350795745729584,0.8153515600588993,110,88
cable_gland,0.8018609742747673,0.9492044441490859,0.5019157088122606,0.7844015046169178,0.8949096880131363,0.9745300462961695,0.7887246852764095,0.9182800364738735,1.0,1.0,0.9693486590038314,0.9889154616110549,0.806369558271876,0.006489447288146542,0.4086980748296366,0.8449397302391924,0.016452044852716837,0.5308861554022903,108,87
carrot,0.6958473625140293,0.9171004351697201,0.6074635241301907,0.8561617214145583,0.675645342312009,0.9098754617468854,0.6043771043771045,0.8559428893138266,0.6843434343434343,0.9140394758041875,0.7188552188552189,0.9258865487896449,0.9391052720713117,0.06421029846287189,0.8197291161429101,0.9254300213644411,0.0535857267168915,0.7778744497759468,159,132
cookie,0.5131761442441054,0.8227172756281339,0.47018030513176146,0.8097167079891918,0.5988210818307905,0.8700900094415052,0.5305131761442441,0.8301244196415173,0.7590152565880721,0.9252035388179338,0.5499306518723994,0.8436920562903328,0.9269014063194664,0.2617590775782165,0.7281117009566995,0.88993023566169,0.1537916576421773,0.6529231949460447,131,103
dowel,0.6375739644970415,0.8855884356513632,0.5632396449704142,0.8436364123194904,0.6342455621301776,0.8803476292812271,0.5710059171597632,0.8456935469109614,0.5935650887573964,0.8521572746665227,0.5610207100591715,0.8211621388396404,0.8909002658689551,0.02014812794928576,0.6251596684627364,0.8757283039881838,0.019362597074478422,0.5953995585036944,130,104
foam,0.74375,0.9025387881186525,0.6506249999999999,0.8913106316514934,0.77625,0.9220213174756546,0.688125,0.9004133106141731,0.7418750000000001,0.9170932172642456,0.70125,0.8965745808400551,0.8389338798912804,0.02552095123589789,0.5866932705137667,0.8480151902889219,0.08899468660815578,0.623084960529761,100,80
peach,0.4216255442670537,0.757647542202611,0.5246734397677794,0.814221553447797,0.46589259796806964,0.7905510920105384,0.5504354136429608,0.8087461018935147,0.5032656023222061,0.8167605472435036,0.5373730043541365,0.8009309991281661,0.9373592917805696,0.039432922750787185,0.7742941828930862,0.9210145198620341,0.02770434965920169,0.7223055924495932,132,106
potato,0.4634387351778656,0.8252025850875668,0.6709486166007905,0.9028702705043287,0.5242094861660078,0.840086129597272,0.6452569169960476,0.8816619855847656,0.6546442687747035,0.8744008044141648,0.5449604743083004,0.81640440129344,0.9477832552073611,0.040752132401627505,0.8197751456375363,0.9614128958203907,0.04118276267715048,0.8596602954418364,114,92
rope,0.6902173913043479,0.8430590327539973,0.6616847826086957,0.791418084360969,0.7359601449275361,0.8780242800926003,0.6734601449275363,0.8115239820717182,0.881340579710145,0.9448744984200453,0.7894021739130435,0.8957227181581889,0.9603253226825416,0.26537389019304447,0.8448704518908425,0.9407391104462834,0.2419675504315827,0.810631971136891,101,69
tire,0.559080459770115,0.8377306284276438,0.5158620689655171,0.8075139730721552,0.5655172413793103,0.8381186131478884,0.545287356321839,0.8245655525868243,0.5760919540229885,0.8305626911356616,0.6055172413793103,0.8507985788136684,0.9227317018725184,0.02470055798006282,0.7199362212388837,0.9013439336797128,0.015418783985262387,0.6498904135350047,112,87
