severity,n,dom_acc,macro_f1,consistency,mean_p_rgb,evid_ratio_rgb_over_depth,acc_rgb_only,p_rgb_rgb_only,acc_depth_only,p_rgb_depth_only,acc_joint,p_rgb_joint
medium,1200,0.8125,0.8931464049985293,0.8366666666666667,0.554921511253776,1.4562138086099632,0.9525,0.8629915018554775,0.7125,0.23426025273635184,0.7725,0.5675127791694986
mild,1200,0.7125,0.8179890775865936,0.8125,0.5776343966836642,1.5905968399674608,0.92,0.8514813734105773,0.4725,0.3207649707139382,0.745,0.5606568459264768
strong,1200,0.8191666666666667,0.8991589858732695,0.8933333333333333,0.5448786899846408,1.3461203473557104,0.9125,0.8487451881476133,0.7825,0.20350605845293226,0.7625,0.5823848233533768
all,3600,0.7813888888888889,0.872873416607124,0.8475,0.559144865974027,1.4609086136286178,0.9283333333333333,0.8544060211378894,0.6558333333333334,0.2528437606344075,0.76,0.570184816149784
