category,metric,RGB,Depth,FixedMean,E4,E5,E6,E7,d_vs_E4,d_vs_Fixed,d_vs_BestSingle
potato,I-AUROC(topk1%),0.4862,0.6907,0.6546,0.6235,0.6393,0.6714,0.7031,0.0795,0.0485,0.0124
potato,I-AUPRC(max),0.8146,0.9073,0.8252,0.8753,0.834,0.8262,0.8637,-0.0116,0.0385,-0.0436
potato,P-AUROC,0.9685,0.7196,0.9478,0.9886,0.9468,0.9498,0.95,-0.0386,0.0022,-0.0186
potato,P-AUPRC,0.0452,0.012,0.0408,0.1825,0.0394,0.0431,0.0441,-0.1384,0.0034,-0.0011
potato,AUPRO,0.8863,0.4569,0.8198,0.9584,0.8168,0.8259,0.8261,-0.1323,0.0063,-0.0602
rope,I-AUROC(max),0.813,0.6617,0.6902,0.6966,0.6925,0.6898,0.6979,0.0014,0.0077,-0.115
rope,I-AUROC(topk0.1%),0.8238,0.6735,,,0.7355,0.7428,0.7455,,,-0.0784
rope,I-AUROC(topk1%),0.9674,0.7894,0.8813,0.8107,0.8777,0.8818,0.8927,0.082,0.0114,-0.0747
rope,I-AUPRC(max),0.9021,0.7914,0.8431,0.839,0.8446,0.8347,0.8416,0.0026,-0.0014,-0.0605
rope,P-AUROC,0.7838,0.857,0.9603,0.9723,0.9602,0.9575,0.9584,-0.0138,-0.0019,0.1015
rope,P-AUPRC,0.0925,0.2374,0.2654,0.3899,0.2608,0.2536,0.2583,-0.1316,-0.0071,0.0209
rope,AUPRO,0.53,0.7749,0.8449,0.905,0.8441,0.8401,0.8407,-0.0643,-0.0042,0.0658
tire,I-AUROC(max),0.5972,0.5053,0.5591,0.5402,0.5793,0.5513,0.5646,0.0244,0.0055,-0.0326
tire,I-AUROC(topk0.1%),0.6041,0.5094,,,0.5692,0.5756,0.5779,,,-0.0262
tire,I-AUROC(topk1%),0.6883,0.526,0.5761,0.6092,0.5729,0.5867,0.5871,-0.0221,0.011,-0.1011
tire,I-AUPRC(max),0.812,0.8077,0.8377,0.8277,0.8448,0.836,0.8326,0.0049,-0.0051,0.0207
tire,P-AUROC,0.9145,0.8279,0.9227,0.9415,0.9236,0.9252,0.9247,-0.0168,0.002,0.0102
tire,P-AUPRC,0.0247,0.0072,0.0247,0.0364,0.025,0.0265,0.0263,-0.01,0.0016,0.0016
tire,AUPRO,0.719,0.4823,0.7199,0.7811,0.7226,0.7285,0.7267,-0.0544,0.0068,0.0078
MEAN,I-AUROC(max),0.6401,0.534,0.64,0.6536,0.6277,0.6276,0.6337,-0.0199,-0.0062,-0.0064
MEAN,I-AUROC(topk0.1%),0.652,0.5503,,,0.6766,0.6731,0.6894,,,0.0374
MEAN,I-AUROC(topk1%),0.6862,0.5875,0.7321,0.7516,0.7222,0.7367,0.7352,-0.0164,0.0031,0.049
MEAN,I-AUPRC(max),0.863,0.8166,,0.8699,0.8647,0.8667,0.868,-0.0019,,0.005
MEAN,P-AUROC,0.895,0.7542,0.9148,0.9562,0.9168,0.9152,0.9179,-0.0383,0.0031,0.0229
MEAN,P-AUPRC,0.0698,0.0489,,0.2075,0.1029,0.1045,0.1056,-0.1019,,0.0358
MEAN,AUPRO,0.6855,0.4918,0.7224,0.853,0.7278,0.7237,0.7312,-0.1218,0.0088,0.0457
