category,image_auroc_max,image_auprc_max,image_auroc_topk_0.1pct,image_auprc_topk_0.1pct,image_auroc_topk_1pct,image_auprc_topk_1pct,pixel_auroc,pixel_auprc,aupro,num_test_images,num_anomalous
bagel,0.875,0.9672727597117182,0.9013429752066116,0.9717250926384707,0.9333677685950413,0.9799860381841325,0.9780746457561653,0.29402144325555735,0.8966446440780789,110,88
cable_gland,0.6841817186644772,0.914418677710217,0.8122605363984675,0.9505465120884646,1.0,1.0,0.7996835903677552,0.0062739837619738646,0.3932636311991847,108,87
carrot,0.6952861952861953,0.9184188945922059,0.6719977553310885,0.9086733379061571,0.6795735129068462,0.9129341304718602,0.9384942748147238,0.06229168981523492,0.8169831494804383,159,132
cookie,0.5325936199722607,0.8275562551860387,0.6705963938973647,0.8918673365134716,0.7763522884882108,0.9307754918567481,0.9285549961602945,0.27092781541200256,0.7348887194002892,131,103
dowel,0.6386834319526626,0.8875210568621517,0.6479289940828403,0.8863660065627811,0.6153846153846154,0.8599032018781265,0.8927031478601326,0.020618255690744155,0.6288019619661619,130,104
foam,0.73375,0.899721465027995,0.7437499999999999,0.910551026025848,0.731875,0.9133664092395152,0.8434017359317749,0.02686437907748789,0.5950880059422415,100,80
peach,0.41509433962264153,0.7553644419128616,0.4560957910014513,0.7844908159280947,0.49056603773584906,0.8060406573613483,0.9382294119976021,0.04053258856708397,0.7766494334898545,132,106
potato,0.46047430830039526,0.8261583157939151,0.508399209486166,0.8329556401727369,0.6714426877470355,0.8872798607998634,0.9498452272481969,0.043085407514487035,0.8258735521373628,114,92
rope,0.6897644927536233,0.834721253988097,0.7427536231884058,0.8756537967871579,0.8817934782608696,0.9435478427380515,0.9575045871136482,0.2536195607407179,0.8400503797331734,101,69
tire,0.5512643678160919,0.8360260233248951,0.5756321839080459,0.8389961683806212,0.5866666666666667,0.8316902553789475,0.9251875847953152,0.02653223092071073,0.728485080839173,112,87
MEAN,0.6276,0.8667,0.6731,0.8852,0.7367,0.9066,0.9152,0.1045,0.7237,1197,948
