category,image_auroc_max,image_auprc_max,image_auroc_topk_0.1pct,image_auprc_topk_0.1pct,image_auroc_topk_1pct,image_auprc_topk_1pct,pixel_auroc,pixel_auprc,aupro,num_test_images,num_anomalous
bagel,0.8817148760330578,0.9696514382685308,0.90599173553719,0.974895993954233,0.9230371900826446,0.9786525977431351,0.9784030705141389,0.2911230750947468,0.8976491791986863,110,88
cable_gland,0.7203065134099617,0.9224812429610931,0.9184455391351942,0.9782614021979062,1.0,1.0,0.8206919127123855,0.007266580210923753,0.4553249700615897,108,87
carrot,0.733726150392817,0.9317804065918824,0.7051066217732884,0.9223395992057621,0.7034231200897868,0.923307140258916,0.9418091162475337,0.07712043665593661,0.8270235929842439,159,132
cookie,0.4660194174757281,0.8000982024992449,0.5631067961165048,0.8582182002375373,0.6813453536754508,0.9019126791005498,0.9283567394787682,0.26389581097946624,0.7319830217977381,131,103
dowel,0.6253698224852071,0.8791901748960625,0.6383136094674556,0.8790504899028482,0.5980029585798816,0.8539031842190427,0.8916259568739293,0.019987936438304654,0.6248585689322105,130,104
foam,0.7675,0.915715545836827,0.7712500000000001,0.9252384967897223,0.7506249999999999,0.9231441285277233,0.8454680095826259,0.027178241471082564,0.599276497612742,100,80
peach,0.3298258345428157,0.7227132484132949,0.43831640058055155,0.7789316933810679,0.5130624092888244,0.8253620389357412,0.9398771455552165,0.04089974168976012,0.7825431637011486,132,106
potato,0.5499011857707509,0.8636768066572017,0.6299407114624507,0.8897559617002943,0.7030632411067192,0.8811731958227422,0.9499926916476409,0.044132000616940364,0.8261072406500435,114,92
rope,0.6979166666666667,0.8416404835867931,0.7454710144927535,0.8786469426831632,0.892663043478261,0.9503114302937158,0.9584466943669432,0.2583096835649449,0.8407002299719428,101,69
tire,0.5645977011494253,0.8326453872067101,0.5779310344827586,0.8395657438120758,0.5871264367816091,0.833632746651036,0.9246603681613893,0.02634856837910972,0.7267465658938271,112,87
MEAN,0.6337,0.868,0.6894,0.8925,0.7352,0.9071,0.9179,0.1056,0.7312,1197,948
