epoch,train_loss,val_loss,lr,secs
0,0.5926850954691569,0.4614499608675639,0.001,25.12448287010193
1,0.3646417488654455,0.36166151364644367,0.001,22.470760345458984
2,0.3213759958744049,0.2992254098256429,0.001,21.811764240264893
3,0.2945151815811793,0.2805732687314351,0.001,21.988588094711304
4,0.2752516776323318,0.25962772965431213,0.001,22.356055974960327
5,0.25762428690989814,0.24509366850058237,0.001,21.862767457962036
6,0.24324263284603756,0.23417499661445618,0.001,21.620376348495483
7,0.2326190635561943,0.22260791063308716,0.001,21.66189408302307
8,0.22345180064439774,0.21483581264813742,0.001,22.38886070251465
9,0.21602608660856884,0.207242618004481,0.001,22.345729112625122
10,0.20922105262676874,0.19938852389653525,0.001,21.894333124160767
11,0.20206600526968638,0.19263091683387756,0.001,21.99470567703247
12,0.19542187154293061,0.18621636430422464,0.001,22.12919282913208
13,0.18964806348085403,0.1804496149222056,0.001,22.301984071731567
14,0.18464644998311996,0.1764505753914515,0.001,23.00751233100891
15,0.1800809274117152,0.17218501369158426,0.001,22.14031410217285
16,0.17655526647965114,0.17036618292331696,0.001,21.994115114212036
17,0.1727485885222753,0.16790403425693512,0.001,21.909971475601196
18,0.16929100900888444,0.16424182057380676,0.001,22.285059213638306
19,0.1665523702899615,0.16098478933175406,0.001,22.004937171936035
20,0.16337154706319174,0.156621386607488,0.001,21.72584342956543
21,0.1610075280070305,0.15497244397799173,0.001,21.96294403076172
22,0.15883473704258602,0.15171209474404654,0.001,21.99277138710022
23,0.15670772045850753,0.15037883321444193,0.001,21.83000922203064
24,0.15487068941195806,0.14959809680779776,0.001,22.036550283432007
25,0.15293635924657187,0.15034972627957663,0.001,21.89454960823059
26,0.15112747003634772,0.1465193728605906,0.001,22.103851318359375
27,0.14963522305091223,0.14593770603338876,0.001,22.306187629699707
28,0.1483654315272967,0.14490773777167001,0.001,22.129618167877197
29,0.14649813224871952,0.1422574669122696,0.001,21.9507794380188
30,0.14542154719432196,0.14036344488461813,0.001,22.09806728363037
31,0.14390239467223484,0.14142927527427673,0.001,22.120708227157593
32,0.1428145721554756,0.13997626304626465,0.001,21.636832237243652
33,0.14175253361463547,0.13941060503323874,0.001,21.951635122299194
34,0.14053173611561456,0.14074132839838663,0.001,22.104265928268433
35,0.14002477775017422,0.13792729377746582,0.001,21.952902793884277
36,0.13920796165863672,0.13506284356117249,0.001,21.961496829986572
37,0.1383679096897443,0.13435726861159006,0.001,21.754169940948486
38,0.13719841092824936,0.13436288138230643,0.001,21.7901291847229
39,0.13640530357758204,0.1348970631758372,0.001,22.085187435150146
40,0.13612416088581086,0.13276406129201254,0.001,22.411556482315063
41,0.13526473840077718,0.13550837337970734,0.001,22.335542678833008
42,0.13501025090614954,0.13451123734315237,0.001,21.91103744506836
43,0.13416316459576288,0.13155066967010498,0.001,21.85718560218811
44,0.1335709164539973,0.13378430902957916,0.001,22.212406635284424
45,0.13325701256593067,0.13339650630950928,0.001,22.182830572128296
46,0.1328672409057617,0.12965509295463562,0.001,21.677459955215454
47,0.13232812732458116,0.1322973668575287,0.001,21.914305210113525
48,0.13171159426371257,0.127995694677035,0.001,21.89995503425598
49,0.1310954913496971,0.12788263460000357,0.001,22.244297981262207
