epoch,train_loss,val_loss,gamma_rd,gamma_dr,res_mag,entropy
0,0.34821732425027424,0.34601550248205665,0.0,-0.024804670363664627,0.25139779448509214,5.325532341003418
1,0.34756020953257877,0.34477336232662203,0.0,-0.04610208794474602,0.38571906089782715,4.767287349700927
2,0.3467898393670718,0.34417300917565824,0.0,-0.055893391370773315,0.37192326188087466,4.601065826416016
3,0.34673379444413716,0.3440561461836099,0.0,-0.06563015282154083,0.3574009835720062,4.428164005279541
4,0.3465116131636832,0.34398937139868735,0.0,-0.07184828072786331,0.32854934930801394,4.385791492462158
5,0.345545484787888,0.34401554214656355,0.0,-0.08203428238630295,0.2799880802631378,4.456151676177979
6,0.34552574074930614,0.3438864372915029,0.0,-0.09151247143745422,0.29651051163673403,4.3696722984313965
7,0.3459920692774985,0.3437542614686489,0.0,-0.0981234610080719,0.28437639474868776,4.301769542694092
8,0.34549113776948714,0.3435322669875621,0.0,-0.10266322642564774,0.26473628282546996,4.389166736602784
9,0.3460994495285882,0.3435304590192437,0.0,-0.10947392135858536,0.24472859799861907,4.456274795532226
10,0.3449894388516744,0.34338538449227807,0.0,-0.11386535316705704,0.23778267502784728,4.530670261383056
11,0.3447093632486131,0.3431788896685839,0.0,-0.11870773136615753,0.27015292048454287,4.458230876922608
12,0.34437113338046604,0.3427187775018811,0.0,-0.1240978017449379,0.2510801523923874,4.444724750518799
13,0.3449322332938512,0.3426546265751123,0.0,-0.1300395429134369,0.24158748984336853,4.469836235046387
14,0.34497681425677407,0.34267971545875076,0.0,-0.13677716255187988,0.24509127736091613,4.456577587127685
15,0.34468719197644127,0.3425835636726022,0.0,-0.139750137925148,0.22796047627925872,4.4771675109863285
16,0.34445581088463467,0.3426308988055587,0.0,-0.14409293234348297,0.2193465620279312,4.482377624511718
17,0.3440959503253301,0.3423782002189755,0.0,-0.14737263321876526,0.2485401839017868,4.358162975311279
18,0.3444467940264278,0.34223255952864884,0.0,-0.15199528634548187,0.22859964072704314,4.453962898254394
19,0.3439219784405496,0.34203875495255,0.0,-0.15661166608333588,0.22126900553703308,4.433410263061523
20,0.3445018745130963,0.34219108821481464,0.0,-0.16221773624420166,0.2107022672891617,4.481072235107422
21,0.34444547279013527,0.34199340444415804,0.0,-0.16524949669837952,0.21999064981937408,4.462228012084961
22,0.34324099454614854,0.34167710891127584,0.0,-0.16950595378875732,0.22580715417861938,4.437466812133789
23,0.3437391635444429,0.34201956364542246,0.0,-0.17378155887126923,0.2121952146291733,4.517547988891602
24,0.3436480106578933,0.34159468718856567,0.0,-0.17666104435920715,0.20989691317081452,4.463694953918457
25,0.34378454006380504,0.34161562588781125,0.0,-0.18053185939788818,0.21365613043308257,4.494150161743164
26,0.3436742838886049,0.3415295866468549,0.0,-0.18526591360569,0.2040591448545456,4.525261783599854
27,0.3436604415376981,0.34146720965266225,0.0,-0.18939580023288727,0.20621224641799926,4.537228775024414
28,0.3427680912945006,0.34121802389532324,0.0,-0.19107794761657715,0.2101719468832016,4.543126201629638
29,0.34291524771187043,0.3413233622413873,0.0,-0.19346819818019867,0.20213474631309508,4.523343086242676
30,0.3428541628850831,0.3411813128596545,0.0,-0.19722291827201843,0.20868718028068542,4.4775594711303714
31,0.3436375657717387,0.3410269166767597,0.0,-0.19788773357868195,0.20584887266159058,4.529862403869629
32,0.3438877984881401,0.3412201662063599,0.0,-0.2017900049686432,0.1956629753112793,4.583431911468506
33,0.34383683403333026,0.3410842642381787,0.0,-0.2022780478000641,0.19551794230937958,4.546810340881348
34,0.3427780701054467,0.34090877813905474,0.0,-0.2039794772863388,0.19084981977939605,4.55549898147583
35,0.3431293119986852,0.340919319601655,0.0,-0.20705129206180573,0.19677667021751405,4.547050189971924
36,0.34280719856421155,0.3409157182738185,0.0,-0.21214066445827484,0.19523902237415314,4.5338129043579105
37,0.3423006534576416,0.3408862171193957,0.0,-0.21272054314613342,0.18924711048603057,4.596451091766357
38,0.3437326078613599,0.3409053586184979,0.0,-0.21325528621673584,0.18874579668045044,4.627338695526123
39,0.3422764109240638,0.34051504452586173,0.0,-0.21354785561561584,0.195948326587677,4.569816303253174
40,0.34351855433649486,0.3408166445922851,0.0,-0.21390298008918762,0.183544921875,4.607653331756592
41,0.34216904474629295,0.3402349564421177,0.0,-0.216383695602417,0.1876026511192322,4.589939403533935
42,0.3409421270092328,0.34044533477306366,0.0,-0.220356747508049,0.1901878833770752,4.593177795410156
43,0.34252747313843834,0.3404740320980548,0.0,-0.22159583866596222,0.18591946363449097,4.612804317474366
44,0.3427531123161316,0.3407525821712613,0.0,-0.22344043850898743,0.17942568957805632,4.6377418518066404
45,0.3421141886048847,0.34053066251188513,0.0,-0.22588619589805603,0.18287921845912933,4.69289608001709
46,0.34265172398752636,0.3404704524743557,0.0,-0.2266126573085785,0.1911981225013733,4.627073860168457
47,0.34322608676221633,0.34039216538488865,0.0,-0.22819598019123077,0.18347300887107848,4.655742168426514
48,0.3418749123811722,0.34060574716061354,0.0,-0.22854536771774292,0.18328967392444612,4.605481052398682
49,0.342423215508461,0.3403344168645143,0.0,-0.23049883544445038,0.19119741320610045,4.564275646209717
