epoch,train_loss,val_loss,lr,secs
0,0.48999546964963275,0.34670729041099546,0.001,14.76816701889038
1,0.277454717291726,0.26000653505325316,0.001,13.639291524887085
2,0.24012957099411222,0.2234346389770508,0.001,13.651984691619873
3,0.2174522719449467,0.20646182596683502,0.001,13.624035596847534
4,0.20245106683837044,0.19429578483104706,0.001,14.99031114578247
5,0.19107181992795733,0.18485094010829925,0.001,15.642530918121338
6,0.18350154823727077,0.18204378187656403,0.001,16.8358097076416
7,0.1767948874168926,0.17560239136219025,0.001,13.499272108078003
8,0.16860370793276364,0.16159166097640992,0.001,13.65265965461731
9,0.15913043667872748,0.15470108687877654,0.001,13.646054744720459
10,0.15203940495848656,0.1458435535430908,0.001,14.04828429222107
11,0.14657306919495264,0.14232414066791535,0.001,13.498655557632446
12,0.1418725893729263,0.13731468319892884,0.001,13.557628870010376
13,0.1386019823451837,0.13454947769641876,0.001,13.617098569869995
14,0.13522717563642395,0.13199628591537477,0.001,13.370405673980713
15,0.13309031973282495,0.1296215057373047,0.001,13.725337028503418
16,0.13041268578834003,0.12808465510606765,0.001,13.636396884918213
17,0.128243420066105,0.1258358284831047,0.001,13.671038389205933
18,0.12662350551949608,0.12348039150238037,0.001,13.989523649215698
19,0.12502251399887931,0.12159381061792374,0.001,13.53608226776123
20,0.1236897949129343,0.12118110656738282,0.001,13.45036792755127
21,0.12249008214308156,0.11990333795547485,0.001,13.802967071533203
22,0.1207298282533884,0.11932202875614166,0.001,13.482335567474365
23,0.12033471630679236,0.11872886717319489,0.001,13.589680194854736
24,0.11949693101147811,0.11901552379131317,0.001,13.507870197296143
25,0.1183652716378371,0.11626287996768951,0.001,13.61123776435852
26,0.11766026748551263,0.11569528430700302,0.001,13.371581792831421
27,0.11681805716620551,0.1143419936299324,0.001,13.851761817932129
28,0.11547992813090484,0.11301781088113785,0.001,13.886280059814453
29,0.1158673678421312,0.11436554789543152,0.001,13.842687129974365
30,0.11485820346408421,0.1119156926870346,0.001,14.067150115966797
31,0.11423323055108388,0.11297736614942551,0.001,14.172526836395264
32,0.11380668833023971,0.11209057569503784,0.001,14.014917850494385
33,0.11330588203337458,0.11316048353910446,0.001,14.105371475219727
34,0.1126300920214918,0.1106423407793045,0.001,13.623637437820435
35,0.11226196152468522,0.11038437485694885,0.001,13.72584080696106
36,0.11205654529233773,0.1101873442530632,0.001,13.66977858543396
37,0.11135562674866782,0.11042870432138444,0.001,14.059345722198486
38,0.11107984888884756,0.10993465632200242,0.001,14.275409460067749
39,0.11094675916764471,0.10902652889490128,0.001,14.039096593856812
40,0.11035708027581374,0.1083197370171547,0.001,13.743905544281006
41,0.1093093790113926,0.10777803659439086,0.001,13.398805856704712
42,0.10901412678261597,0.10730022490024567,0.001,13.695998668670654
43,0.10908423757387532,0.10787823796272278,0.001,14.184805154800415
44,0.1088515499399768,0.10736338347196579,0.001,13.939419031143188
45,0.10839866060349676,0.11172620505094528,0.001,14.317321062088013
46,0.10851580049428675,0.11192627400159835,0.001,14.482288360595703
47,0.10787137494319016,0.10850973427295685,0.001,14.111989736557007
48,0.10758055705163214,0.1067627415060997,0.001,14.277575731277466
49,0.10732346607579125,0.10639901161193847,0.001,14.02286171913147
