epoch,train_loss,val_loss,gamma_rgb,gamma_depth,res_mag
0,0.37369505487955534,0.37159038077741857,0.02389264479279518,-0.019418587908148766,0.23181329667568207
1,0.36581856126968676,0.35810655702551203,0.05708220973610878,-0.04879482090473175,0.5412748058636984
2,0.3495690134855417,0.3373418178419272,0.08542042225599289,-0.0777871385216713,0.7806954185167948
3,0.33406404233895814,0.3223475545068582,0.10334455966949463,-0.1094222292304039,0.8071170051892599
4,0.32276202509036434,0.3127331326226393,0.11703561991453171,-0.13429804146289825,0.8169911106427511
5,0.31628191012602586,0.30650103500088055,0.12870943546295166,-0.1505047231912613,0.8510141968727112
6,0.31109649630693287,0.3018618938306968,0.1385422646999359,-0.16350984573364258,0.833951453367869
7,0.3068447239123858,0.2980559393803279,0.14727866649627686,-0.17426633834838867,0.8595734437306722
8,0.3039699953335982,0.2949761388162772,0.15520229935646057,-0.1823151707649231,0.8550907572110494
9,0.30119882409389204,0.29291314125061035,0.16234087944030762,-0.19075043499469757,0.8755683898925781
10,0.29991508103333986,0.29250716988444325,0.16837987303733826,-0.19612111151218414,0.8550460934638977
11,0.2976271372575026,0.2902969560007254,0.17459161579608917,-0.20308232307434082,0.8665114839871725
12,0.2964225732363187,0.2884585785071055,0.1802971214056015,-0.20888033509254456,0.8581805229187012
13,0.29482677005804503,0.2871935258130232,0.18524882197380066,-0.21534782648086548,0.8679530819257101
14,0.2933114698299995,0.28559675987561545,0.18996061384677887,-0.22118635475635529,0.8603755633036295
15,0.29203652762449706,0.28406463502844176,0.1942824423313141,-0.22681039571762085,0.8641243974367777
16,0.29129930986807895,0.2836416598598162,0.198140949010849,-0.23164615035057068,0.8668140172958374
17,0.2897962515170758,0.2819335280219714,0.2020616978406906,-0.2375800907611847,0.8526262044906616
18,0.2892228559805797,0.2814933488806089,0.20567475259304047,-0.24227088689804077,0.8579790194829305
19,0.28886391680974227,0.2811675986866156,0.20970231294631958,-0.24467313289642334,0.8585838278134664
20,0.2877009671468001,0.28052339046001434,0.21296316385269165,-0.24979718029499054,0.86237104733785
21,0.28728219866752625,0.27995987170338626,0.21664853394031525,-0.2543075382709503,0.8591579000155131
22,0.2868075783436115,0.27938594207763673,0.2198125272989273,-0.25775039196014404,0.8581295013427734
23,0.28643083228514743,0.27929866268833475,0.22285374999046326,-0.261980265378952,0.8463904658953348
24,0.2861943714893781,0.27843859187563264,0.2260400801897049,-0.26362141966819763,0.8628376523653666
25,0.2856341680655113,0.27816556925376257,0.22893771529197693,-0.26541662216186523,0.8499587774276733
26,0.28515779284330517,0.2771800485809644,0.23161858320236206,-0.26931455731391907,0.8515243132909139
27,0.2843403254563992,0.27725352407693865,0.23443028330802917,-0.2719593644142151,0.8577544291814169
28,0.28427071410876054,0.2770619127511978,0.23757518827915192,-0.2753879129886627,0.8532073497772217
29,0.28389387749708617,0.277013826829195,0.24010977149009705,-0.27777472138404846,0.8565340240796407
30,0.283162018427482,0.2756712896009286,0.24279160797595978,-0.2807047367095947,0.850694994131724
31,0.2833946794271469,0.27515039344429965,0.24539262056350708,-0.28262242674827576,0.8492171963055929
32,0.28258319657582504,0.275768254750967,0.2481018304824829,-0.2854834496974945,0.8483275373776754
33,0.28277355088637424,0.2753408198416233,0.2501234710216522,-0.2882600426673889,0.8365066250165304
34,0.2825496976192181,0.27545833873748776,0.2525324821472168,-0.2896087169647217,0.8391054471333822
35,0.2815782450712644,0.27491653070052463,0.2545244097709656,-0.29326188564300537,0.8331631422042847
36,0.2819152141992862,0.2743761026720206,0.2569096088409424,-0.2939833104610443,0.8394481142361959
37,0.2813046482893137,0.27437739719748494,0.2587200403213501,-0.2961297333240509,0.840112586816152
38,0.2813995835872797,0.2739750056783358,0.26120519638061523,-0.29825612902641296,0.830084760983785
39,0.2807956269154182,0.27316851612528165,0.26268959045410156,-0.3009844124317169,0.834246814250946
40,0.28080429709874666,0.27379585267106693,0.2647043466567993,-0.3024914264678955,0.8324820796648661
41,0.2806227539594357,0.27370224359830225,0.26621147990226746,-0.30246010422706604,0.8341706593831381
42,0.28080271299068743,0.27279978089531265,0.2681056559085846,-0.30460765957832336,0.8301841219266256
43,0.2803024798631668,0.27326317676107087,0.2697414457798004,-0.30704498291015625,0.828698456287384
44,0.28060829180937547,0.273516541681687,0.2713048458099365,-0.30918067693710327,0.8235776225725809
45,0.2799683247621243,0.2733595492740472,0.2730681300163269,-0.310258150100708,0.8239127198855082
46,0.28077996464876026,0.2729874901890755,0.27460792660713196,-0.3124149441719055,0.8112659851710001
47,0.28015093963879806,0.2730329589764277,0.27611780166625977,-0.3137870132923126,0.8188121318817139
48,0.2792704380475558,0.27260409096479415,0.27769404649734497,-0.31682270765304565,0.8125802278518677
49,0.27961686712044936,0.27267520336310064,0.27895021438598633,-0.3178340792655945,0.8171093463897705
